Property,Pearson r,RMSE
Solubility,0.5857415205594876,128957.36213636895
Molecular_Weight,0.7239831773509878,105.53359009366548
Log_P,0.9047290278694547,0.8452137431039765
BoilingPoint,0.7145751280391116,225.43760196933516
sigma_780nm,0.5607173408005491,107.42511263683541
max_sigma,0.5613786183234479,128.36060839815465
ISC(S1-T1),0.5868228411662956,0.04129204910365992
SAscore,0.8521702979333919,0.069352883079694
Tox_score,0.9263810304185724,0.0960650853499678
is_aromatic,0.9176775301681878,15.64165256907877
