Property,Pearson r,RMSE
Solubility,0.5185725489656289,134944.42208058285
Molecular_Weight,0.7758272689438851,93.76436170465499
Log_P,0.9174449764689604,0.7767041637608173
BoilingPoint,0.781511902864452,199.46932139072632
sigma_780nm,0.5231834993840793,112.26074735948211
max_sigma,0.5233159213254848,133.70013184865095
ISC(S1-T1),0.5214820727574105,0.046692462261257284
SAscore,0.7966364147641176,0.07742865664488921
Tox_score,0.9300142080852514,0.09518491750636124
is_aromatic,0.8373575258082496,30.53525899517331
