Property,Pearson r,RMSE
Solubility,0.5322013947796089,133866.53018756065
Molecular_Weight,0.7539496853412888,95.29265577837118
Log_P,0.9195828934115239,0.7861697789815667
BoilingPoint,0.7463752338440887,209.57335617352751
sigma_780nm,0.5020216536820468,113.28240157960201
max_sigma,0.5031882879074303,134.76140773930723
ISC(S1-T1),0.5354473098931871,0.04597909339153781
SAscore,0.8376580171537754,0.06507202480595124
Tox_score,0.933740799254723,0.09211890054797436
is_aromatic,0.8083255928808002,33.68979299356531
