Property,Pearson r,RMSE
Solubility,0.5982513277387319,125751.6331935764
Molecular_Weight,0.7733450057067238,92.4029688080101
Log_P,0.9097971699801246,0.8220356734253047
BoilingPoint,0.7772832206461495,200.5857487009514
sigma_780nm,0.5601772860884429,107.84232226356406
max_sigma,0.5569092550954922,129.33859100902202
ISC(S1-T1),0.4239335034522065,0.04874060744901739
SAscore,0.8389642985621062,0.07141406990292391
Tox_score,0.9392981617391968,0.08880429298343988
is_aromatic,0.9204710751571464,16.20506198215275
