epoch,train_loss,test_loss
1,3.5063725953199425,3.2766634334217417
2,3.4762810578151626,3.2816205458207564
3,3.4774230219879927,3.28021409294822
4,3.4777615970494797,3.281120863827792
5,3.477485879343383,3.2805319265885786
