Property,Pearson r,RMSE
Solubility,0.45393690776584394,142238.1468884592
Molecular_Weight,0.7385112310434829,110.47367906894567
Log_P,0.8904028135745654,0.9859706960147253
BoilingPoint,0.6863817577276071,244.54840407439332
sigma_780nm,0.32800112393408865,148.0924062000719
max_sigma,0.3412359895528162,170.6811857884414
ISC(S1-T1),0.4700364507068808,0.04823198061146433
SAscore,0.7447202515515554,0.09430596224273166
Tox_score,0.9065417300425309,0.10847563902494829
is_aromatic,0.8733991623198413,13.463269749831912
